drug1, drug2, mechanism, action, property, description
Arformoterol,Haloperidol,decrease,1/2,M,The metabolism of Haloperidol can be decreased when combined with Arformoterol
Arformoterol,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Arformoterol
Arformoterol,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Arformoterol
Arformoterol,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Arformoterol
Arformoterol,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Arformoterol
Arformoterol,Leflunomide,decrease,1/2,M,The metabolism of Leflunomide can be decreased when combined with Arformoterol
Arformoterol,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Arformoterol
Arformoterol,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Arformoterol
Arformoterol,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Arformoterol
Arformoterol,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Arformoterol
Arformoterol,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Arformoterol
Arformoterol,Methotrimeprazine,decrease,1/2,M,The metabolism of Methotrimeprazine can be decreased when combined with Arformoterol
Arformoterol,Metoprolol,decrease,1/2,M,The metabolism of Metoprolol can be decreased when combined with Arformoterol
Arformoterol,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Arformoterol
Arformoterol,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Arformoterol
Arformoterol,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Arformoterol
Arformoterol,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Arformoterol
Arformoterol,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Arformoterol
Argatroban,Atomoxetine,decrease,1/2,M,The metabolism of Atomoxetine can be decreased when combined with Argatroban
Argatroban,Bortezomib,decrease,1/2,M,The metabolism of Bortezomib can be decreased when combined with Argatroban
Argatroban,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Argatroban
Argatroban,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Argatroban
Argatroban,Crizotinib,decrease,1/2,M,The metabolism of Crizotinib can be decreased when combined with Argatroban
Argatroban,Diltiazem,decrease,1/2,M,The metabolism of Diltiazem can be decreased when combined with Argatroban
Argatroban,Doxycycline,decrease,1/2,M,The metabolism of Doxycycline can be decreased when combined with Argatroban
Argatroban,Dronedarone,decrease,1/2,M,The metabolism of Dronedarone can be decreased when combined with Argatroban
Argatroban,Erythromycin,decrease,1/2,M,The metabolism of Erythromycin can be decreased when combined with Argatroban
Argatroban,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Argatroban
Argatroban,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Argatroban
Argatroban,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Argatroban
Argatroban,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Argatroban
Argatroban,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Argatroban
Armodafinil,Clotiazepam,decrease,1/2,M,The metabolism of Clotiazepam can be decreased when combined with Armodafinil
Armodafinil,Clozapine,decrease,1/2,M,The metabolism of Clozapine can be decreased when combined with Armodafinil
Armodafinil,Cyclophosphamide,decrease,1/2,M,The metabolism of Cyclophosphamide can be decreased when combined with Armodafinil
Armodafinil,Desipramine,decrease,1/2,M,The metabolism of Desipramine can be decreased when combined with Armodafinil
Armodafinil,Dexlansoprazole,decrease,1/2,M,The metabolism of Dexlansoprazole can be decreased when combined with Armodafinil
Armodafinil,Dextromethorphan,decrease,1/2,M,The metabolism of Dextromethorphan can be decreased when combined with Armodafinil
Armodafinil,Diazepam,decrease,1/2,M,The metabolism of Diazepam can be decreased when combined with Armodafinil
Armodafinil,Diclofenac,decrease,1/2,M,The metabolism of Diclofenac can be decreased when combined with Armodafinil
Armodafinil,Diltiazem,decrease,1/2,M,The metabolism of Diltiazem can be decreased when combined with Armodafinil
Armodafinil,Diphenhydramine,decrease,1/2,M,The metabolism of Diphenhydramine can be decreased when combined with Armodafinil
Armodafinil,Dopamine,decrease,1/2,M,The metabolism of Dopamine can be decreased when combined with Armodafinil
Armodafinil,Doxazosin,decrease,1/2,M,The metabolism of Doxazosin can be decreased when combined with Armodafinil
Armodafinil,Doxepin,decrease,1/2,M,The metabolism of Doxepin can be decreased when combined with Armodafinil
Armodafinil,Dronabinol,decrease,1/2,M,The metabolism of Dronabinol can be decreased when combined with Armodafinil
Armodafinil,Eletriptan,decrease,1/2,M,The metabolism of Eletriptan can be decreased when combined with Armodafinil
Armodafinil,Enasidenib,decrease,1/2,M,The metabolism of Enasidenib can be decreased when combined with Armodafinil
Armodafinil,Escitalopram,decrease,1/2,M,The metabolism of Escitalopram can be decreased when combined with Armodafinil
Armodafinil,Esomeprazole,decrease,1/2,M,The metabolism of Esomeprazole can be decreased when combined with Armodafinil
Armodafinil,Estradiolacetate,decrease,1/2,M,The metabolism of Estradiolacetate can be decreased when combined with Armodafinil
Armodafinil,Estradiolbenzoate,decrease,1/2,M,The metabolism of Estradiolbenzoate can be decreased when combined with Armodafinil
Armodafinil,Estradiolcypionate,decrease,1/2,M,The metabolism of Estradiolcypionate can be decreased when combined with Armodafinil
Armodafinil,Estradioldienanthate,decrease,1/2,M,The metabolism of Estradioldienanthate can be decreased when combined with Armodafinil
Armodafinil,Estradiolvalerate,decrease,1/2,M,The metabolism of Estradiolvalerate can be decreased when combined with Armodafinil
Armodafinil,Etizolam,decrease,1/2,M,The metabolism of Etizolam can be decreased when combined with Armodafinil
Armodafinil,Famotidine,decrease,1/2,M,The metabolism of Famotidine can be decreased when combined with Armodafinil
Armodafinil,Flunitrazepam,decrease,1/2,M,The metabolism of Flunitrazepam can be decreased when combined with Armodafinil
Armodafinil,Fluoxetine,decrease,1/2,M,The metabolism of Fluoxetine can be decreased when combined with Armodafinil
Armodafinil,Flutamide,decrease,1/2,M,The metabolism of Flutamide can be decreased when combined with Armodafinil
Armodafinil,Formoterol,decrease,1/2,M,The metabolism of Formoterol can be decreased when combined with Armodafinil
Armodafinil,Fosphenytoin,decrease,1/2,M,The metabolism of Fosphenytoin can be decreased when combined with Armodafinil
Armodafinil,Gliclazide,decrease,1/2,M,The metabolism of Gliclazide can be decreased when combined with Armodafinil
Armodafinil,Glucosamine,decrease,1/2,M,The metabolism of Glucosamine can be decreased when combined with Armodafinil
Armodafinil,Glyburide,decrease,1/2,M,The metabolism of Glyburide can be decreased when combined with Armodafinil
Armodafinil,Guanfacine,decrease,1/2,M,The metabolism of Guanfacine can be decreased when combined with Armodafinil
Armodafinil,Haloperidol,decrease,1/2,M,The metabolism of Haloperidol can be decreased when combined with Armodafinil
Armodafinil,Hexobarbital,decrease,1/2,M,The metabolism of Hexobarbital can be decreased when combined with Armodafinil
Armodafinil,Ibuprofen,decrease,1/2,M,The metabolism of Ibuprofen can be decreased when combined with Armodafinil
Armodafinil,Ifosfamide,decrease,1/2,M,The metabolism of Ifosfamide can be decreased when combined with Armodafinil
Armodafinil,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Armodafinil
Armodafinil,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Armodafinil
Armodafinil,Indomethacin,decrease,1/2,M,The metabolism of Indomethacin can be decreased when combined with Armodafinil
Armodafinil,Ketobemidone,decrease,1/2,M,The metabolism of Ketobemidone can be decreased when combined with Armodafinil
Armodafinil,Lansoprazole,decrease,1/2,M,The metabolism of Lansoprazole can be decreased when combined with Armodafinil
Armodafinil,Lapatinib,decrease,1/2,M,The metabolism of Lapatinib can be decreased when combined with Armodafinil
Armodafinil,Levomilnacipran,decrease,1/2,M,The metabolism of Levomilnacipran can be decreased when combined with Armodafinil
Armodafinil,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Armodafinil
Armodafinil,Lumiracoxib,decrease,1/2,M,The metabolism of Lumiracoxib can be decreased when combined with Armodafinil
Armodafinil,Macitentan,decrease,1/2,M,The metabolism of Macitentan can be decreased when combined with Armodafinil
Armodafinil,Melatonin,decrease,1/2,M,The metabolism of Melatonin can be decreased when combined with Armodafinil
Armodafinil,Meprobamate,decrease,1/2,M,The metabolism of Meprobamate can be decreased when combined with Armodafinil
Armodafinil,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Armodafinil
Armodafinil,Methsuximide,decrease,1/2,M,The metabolism of Methsuximide can be decreased when combined with Armodafinil
Armodafinil,Methylphenobarbital,decrease,1/2,M,The metabolism of Methylphenobarbital can be decreased when combined with Armodafinil
Armodafinil,Metoprolol,decrease,1/2,M,The metabolism of Metoprolol can be decreased when combined with Armodafinil
Armodafinil,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Armodafinil
Armodafinil,Nabiximols,decrease,1/2,M,The metabolism of Nabiximols can be decreased when combined with Armodafinil
Asenapine,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Asenapine
Asenapine,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Asenapine
Asenapine,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Asenapine
Asenapine,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Asenapine
Asenapine,Mexiletine,decrease,1/2,M,The metabolism of Mexiletine can be decreased when combined with Asenapine
Asenapine,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Asenapine
Asenapine,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Asenapine
Astemizole,Atomoxetine,decrease,1/2,M,The metabolism of Atomoxetine can be decreased when combined with Astemizole
Astemizole,Betaxolol,decrease,1/2,M,The metabolism of Betaxolol can be decreased when combined with Astemizole
Astemizole,Bortezomib,decrease,1/2,M,The metabolism of Bortezomib can be decreased when combined with Astemizole
Astemizole,Bupropion,decrease,1/2,M,The metabolism of Bupropion can be decreased when combined with Astemizole
Astemizole,Celecoxib,decrease,1/2,M,The metabolism of Celecoxib can be decreased when combined with Astemizole
Astemizole,Chloroquine,decrease,1/2,M,The metabolism of Chloroquine can be decreased when combined with Astemizole
Astemizole,Chlorpromazine,decrease,1/2,M,The metabolism of Chlorpromazine can be decreased when combined with Astemizole
Astemizole,Cholecalciferol,decrease,1/2,M,The metabolism of Cholecalciferol can be decreased when combined with Astemizole
Astemizole,Cimetidine,decrease,1/2,M,The metabolism of Cimetidine can be decreased when combined with Astemizole
Astemizole,Cinacalcet,decrease,1/2,M,The metabolism of Cinacalcet can be decreased when combined with Astemizole
Astemizole,Citalopram,decrease,1/2,M,The metabolism of Citalopram can be decreased when combined with Astemizole
Astemizole,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Astemizole
Astemizole,Clomipramine,decrease,1/2,M,The metabolism of Clomipramine can be decreased when combined with Astemizole
Astemizole,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Astemizole
Astemizole,Clozapine,decrease,1/2,M,The metabolism of Clozapine can be decreased when combined with Astemizole
Astemizole,Cocaine,decrease,1/2,M,The metabolism of Cocaine can be decreased when combined with Astemizole
Astemizole,Crizotinib,decrease,1/2,M,The metabolism of Crizotinib can be decreased when combined with Astemizole
Astemizole,Cyclosporine,decrease,1/2,M,The metabolism of Cyclosporine can be decreased when combined with Astemizole
Atomoxetine,Finasteride,decrease,1/2,M,The metabolism of Finasteride can be decreased when combined with Atomoxetine
Atomoxetine,Fingolimod,decrease,1/2,M,The metabolism of Fingolimod can be decreased when combined with Atomoxetine
Atomoxetine,Flecainide,decrease,1/2,M,The metabolism of Flecainide can be decreased when combined with Atomoxetine
Atomoxetine,Flunarizine,decrease,1/2,M,The metabolism of Flunarizine can be decreased when combined with Atomoxetine
Atomoxetine,Flunisolide,decrease,1/2,M,The metabolism of Flunisolide can be decreased when combined with Atomoxetine
Atomoxetine,Flunitrazepam,decrease,1/2,M,The metabolism of Flunitrazepam can be decreased when combined with Atomoxetine
